Metal,Process_Type,End_of_Life,Energy_Use_MJ_per_kg,Emission_kgCO2_per_kg,Water_Use_l_per_kg,Transport_km,Recycled_Content_pct,Reuse_Potential_score,Circularity_Index,Cost_per_kg,Product_Life_Extension_years,Waste_kg_per_kg_metal,Environmental_Impact_Score,Sustainability_Score
Steel,Recycled,Reused,50.68,3.48,9.26,247.69,68.48,7.29,0.27,1.3,28.65,0.13,0.08153984902026415,0.5441002002224695
Steel,Recycled,Recycled,60.47,5.63,2.65,249.87,25.99,1.2,0.23,1.73,23.2,0.03,0.10647173357821738,0.2226563292547275
Cobalt,Recycled,Landfilled,143.72,11.81,9.79,230.79,21.67,3.1,0.54,26.35,13.37,0.18,0.23966844310939447,0.3716455172413794
Zinc,Hybrid,Recycled,61.52,5.77,2.47,340.65,51.99,2.44,0.24,3.47,11.4,0.04,0.10859230373282634,0.3582425361512792
Tin,Hybrid,Recycled,24.3,3.67,3.4,135.96,39.73,1.43,0.58,22.77,8.15,0.08,0.058422282316787914,0.42273312569521687
Cobalt,Primary,Reused,114.42,5.63,3.92,110.3,43.67,2.08,0.25,34.65,8.02,0.17,0.15049157796845097,0.320953637374861
Aluminium,Primary,Reused,96.68,8.21,17.67,207.55,62.98,7.65,0.54,2.79,15.41,0.25,0.17127088246682776,0.6381090989988877
Tin,Recycled,Reused,35.43,2.56,3.59,244.95,73.56,4.71,0.22,19.7,9.35,0.08,0.05635287907791916,0.48702309232480534
Gold,Primary,Landfilled,499.85,31.04,179.23,148.92,59.72,2.59,0.2,3020.55,13.22,0.04,0.8299961576817251,0.3764995773081201
Lead,Recycled,Recycled,79.27,6.65,2.73,264.08,71.55,5.33,0.59,2.21,11.21,0.11,0.13177214512923213,0.6407761957730812
Zinc,Hybrid,Recycled,107.43,5.78,4.05,106.85,24.5,5.67,0.16,2.23,5.58,0.12,0.14648496474273576,0.2881401557285873
Aluminium,Primary,Reused,149.42,6.83,6.78,340.72,27.64,6.15,0.42,1.94,9.44,0.14,0.19241015648612717,0.41537868743047834
Gold,Hybrid,Reused,488.71,21.88,254.29,111.96,47.08,5.25,0.59,4116.79,24.1,0.01,0.7795119251123218,0.5411164404894327
Zinc,Recycled,Recycled,84.17,2.35,10.29,334.27,36.14,4.91,0.6,2.7,12.99,0.15,0.09772391315246158,0.4937924805339266
Lead,Primary,Landfilled,89.67,4.58,3.04,213.88,46.28,2.45,0.65,2.34,8.32,0.07,0.11959618737666133,0.4996250055617353
Nickel,Hybrid,Recycled,122.6,11.12,9.91,390.98,21.88,2.77,0.13,15.7,13.98,0.11,0.21594566869596404,0.20114402669632925
Copper,Recycled,Landfilled,123.65,9.97,8.69,360.72,64.41,2.42,0.14,5.49,20.52,0.08,0.20446949477258233,0.3674775973303671
Aluminium,Recycled,Recycled,188.13,10.43,17.88,228.21,38.53,4.82,0.26,2.52,10.13,0.06,0.2667984257843421,0.36535025583982206
Zinc,Hybrid,Reused,117.3,8.48,10.62,201.35,16.44,2.76,0.22,2.21,8.83,0.06,0.1857712542530607,0.2151615572858732
Gold,Hybrid,Recycled,411.94,31.21,231.34,100.01,77.21,3.04,0.28,3933.73,47.87,0.03,0.7960967445276411,0.48847070077864296
Tin,Primary,Recycled,58.65,4.02,1.56,106.47,35.32,2.09,0.12,23.82,6.95,0.06,0.08818441014450411,0.23577610678531702
Zinc,Recycled,Reused,34.46,3.38,4.12,276.25,49.32,5.07,0.28,3.59,12.42,0.16,0.06413212430137455,0.42207199110122356
Silver,Hybrid,Reused,315.25,10.68,56.26,115.01,65.39,1.4,0.19,1403.86,8.13,0.02,0.3966190604937772,0.3687057174638487
Steel,Primary,Recycled,44.76,1.82,3.09,116.44,66.11,6.68,0.58,0.6,38.02,0.13,0.05608384624133285,0.6450495661846496
Lead,Hybrid,Reused,54.59,2.06,4.99,88.36,84.99,5.78,0.76,1.54,5.69,0.08,0.06761781083388528,0.7725473192436041
Gold,Recycled,Reused,451.59,23.38,231.27,104.71,65.52,3.04,0.29,3223.45,49.66,0.04,0.7494600043738936,0.44571070077864294
Tin,Primary,Reused,24.17,1.55,5.56,93.33,16.97,4.49,0.28,24.26,10.23,0.04,0.038553333884521084,0.279768765294772
Gold,Primary,Landfilled,499.75,31.73,141.14,172.74,59.71,4.19,0.22,3120.04,32.45,0.02,0.811417752410762,0.4200546829810901
Zinc,Hybrid,Landfilled,115.4,7.59,9.55,204.31,34.63,3.76,0.5,2.03,7.65,0.05,0.17463504895353557,0.42216849833147946
Lead,Hybrid,Reused,85.98,5.54,6.51,178.93,31.71,4.4,0.32,1.75,13.43,0.13,0.12855965249782145,0.35272654060066744
Silver,Primary,Landfilled,323.96,23.07,107.7,102.34,56.05,3.37,0.52,1297.03,14.56,0.04,0.5618226149282816,0.5071721913236931
Aluminium,Recycled,Landfilled,131.0,7.84,9.79,304.63,59.41,1.15,0.15,2.59,7.56,0.14,0.18977946191140918,0.3232239822024472
Steel,Hybrid,Landfilled,70.54,6.96,6.22,173.83,57.16,7.37,0.26,1.96,27.96,0.12,0.13021411177088907,0.49659995550611796
Copper,Hybrid,Reused,43.88,4.06,14.61,393.11,39.78,4.32,0.65,7.15,20.58,0.12,0.08546728492458291,0.5152267853170189
Copper,Hybrid,Landfilled,43.16,9.37,11.99,215.52,76.16,5.96,0.62,6.83,10.34,0.15,0.1362572578236223,0.6852317686318131
Gold,Primary,Reused,426.84,23.84,183.11,85.17,20.76,4.67,0.3,4928.04,45.37,0.02,0.7021399821507365,0.30693321468298107
Steel,Primary,Recycled,92.07,5.62,4.54,329.86,42.41,8.41,0.63,1.41,13.82,0.15,0.13291963093747247,0.6087367741935484
Steel,Hybrid,Landfilled,70.35,3.22,7.62,203.75,66.6,2.72,0.26,1.92,26.25,0.04,0.09358629610773073,0.4309116796440489
Silver,Recycled,Landfilled,184.56,20.24,51.82,93.77,51.15,3.99,0.36,1260.06,8.41,0.02,0.3846988019138893,0.4373652947719689
Zinc,Recycled,Landfilled,37.56,5.74,5.74,326.87,50.18,3.39,0.26,3.58,13.67,0.09,0.09129905807683086,0.3801371301446051
Zinc,Recycled,Landfilled,84.26,5.29,11.65,172.31,69.7,5.31,0.33,3.89,7.66,0.19,0.12811019510583874,0.5289312569521691
Nickel,Hybrid,Landfilled,152.77,13.06,12.69,150.46,61.03,1.86,0.57,18.46,6.37,0.05,0.26134759056904244,0.5134993103448275
Zinc,Hybrid,Landfilled,110.52,2.54,4.74,179.89,24.65,2.95,0.18,3.95,14.9,0.16,0.11700972723916263,0.2362284760845384
Nickel,Recycled,Landfilled,87.04,10.18,17.02,386.69,62.61,2.06,0.13,15.18,10.86,0.17,0.1828280454843854,0.3482686985539488
Zinc,Hybrid,Recycled,32.15,6.44,8.58,215.94,79.03,5.51,0.32,3.79,7.1,0.14,0.09586534808169853,0.5667006451612904
Lead,Hybrid,Recycled,44.47,6.32,2.53,108.68,81.83,2.18,0.34,2.17,5.46,0.03,0.10048959651820577,0.5118183314794217
Copper,Primary,Reused,106.61,8.09,3.25,320.34,51.5,3.9,0.29,5.49,23.78,0.16,0.16840106873429744,0.4087630700778643
Aluminium,Hybrid,Recycled,128.99,11.48,16.52,346.92,64.25,4.02,0.52,2.33,19.94,0.25,0.2290679450724627,0.554432703003337
Copper,Recycled,Landfilled,70.24,8.63,7.84,264.41,30.74,3.79,0.16,5.64,10.16,0.06,0.14775850387011408,0.2712759065628476
Nickel,Recycled,Reused,142.49,13.15,15.83,271.72,36.68,2.88,0.25,13.8,10.72,0.19,0.2561152393893789,0.31079119021134594
Tin,Hybrid,Reused,65.02,4.69,4.02,172.31,41.88,4.63,0.47,19.12,9.04,0.05,0.10162405227212314,0.45852333704115683
Gold,Hybrid,Landfilled,469.48,36.39,213.93,97.99,61.15,5.66,0.41,3615.6,44.77,0.02,0.8823457489067131,0.5345176863181312
Copper,Hybrid,Recycled,117.39,7.96,13.64,324.86,52.18,4.15,0.23,6.53,22.78,0.14,0.1826558458998922,0.3930448053392659
Tin,Recycled,Landfilled,45.56,1.82,3.7,190.09,79.24,2.53,0.42,23.01,6.24,0.08,0.057130813438987474,0.5412447608453839
Lead,Primary,Recycled,84.93,3.42,3.28,280.98,41.37,5.94,0.71,2.3,12.08,0.04,0.10436019138814509,0.581626829810901
Zinc,Hybrid,Landfilled,39.21,4.88,5.99,150.35,54.7,1.96,0.39,2.49,8.12,0.1,0.08418401478099823,0.41840400444938824
Aluminium,Primary,Recycled,53.41,4.63,5.44,269.72,44.93,4.0,0.29,2.16,16.49,0.19,0.0926800341768905,0.3847077641824249
Lead,Recycled,Landfilled,46.87,5.19,6.24,251.69,22.77,6.47,0.38,1.21,14.58,0.02,0.0935813400494483,0.38701770856507234
Lead,Recycled,Reused,38.99,5.34,3.69,118.36,79.91,6.47,0.31,2.42,9.19,0.14,0.08707536992143701,0.5875777085650723
Aluminium,Hybrid,Recycled,68.67,11.02,6.07,470.66,73.95,4.58,0.27,2.65,17.11,0.11,0.16922778870056351,0.5056909899888766
Copper,Recycled,Reused,110.52,5.64,5.68,292.09,79.06,6.92,0.54,6.83,13.2,0.15,0.14864431299949976,0.6861888320355951
Silver,Hybrid,Landfilled,208.54,21.19,91.72,87.26,72.68,3.17,0.44,1265.67,22.96,0.03,0.43999802966025925,0.5372428031145717
Tin,Hybrid,Reused,70.3,3.03,4.65,115.02,69.04,2.73,0.17,20.25,5.09,0.08,0.08966528084451239,0.40489414905450505
Steel,Primary,Landfilled,34.13,3.58,5.5,106.23,57.85,6.57,0.29,1.54,13.71,0.07,0.06678879060141168,0.49356240266963297
Lead,Recycled,Reused,64.21,6.63,1.9,100.74,41.85,6.36,0.37,1.59,13.71,0.11,0.11896699870383609,0.45689054505005566
Zinc,Hybrid,Landfilled,111.33,4.62,8.29,346.67,64.98,2.11,0.69,2.12,8.18,0.05,0.14083042094394418,0.5828610456062291
Cobalt,Recycled,Recycled,103.77,7.37,7.96,147.12,43.69,2.57,0.38,25.03,5.88,0.15,0.16206742403632535,0.38393463848720805
Nickel,Primary,Reused,161.0,8.66,13.33,356.18,61.02,4.49,0.28,14.91,6.16,0.09,0.2243493440858859,0.45596876529477204
Aluminium,Primary,Reused,62.15,5.5,14.16,316.68,12.2,4.86,0.27,2.69,16.27,0.1,0.11419119191930371,0.26492013348164634
Gold,Primary,Landfilled,362.03,23.96,279.28,179.28,46.41,1.86,0.32,4602.63,30.26,0.02,0.7156071579406438,0.3550193103448276
Cobalt,Primary,Landfilled,131.93,9.63,5.85,284.43,33.01,3.96,0.54,21.45,11.73,0.05,0.20580079399947296,0.4361378865406007
Aluminium,Recycled,Reused,170.19,10.8,15.78,201.33,22.56,4.32,0.45,1.54,14.61,0.11,0.2547426706906669,0.366346785317019
Aluminium,Primary,Recycled,72.58,8.04,12.48,211.44,86.78,5.74,0.47,2.04,8.26,0.25,0.1468237487120537,0.6628174416017798
Steel,Recycled,Recycled,44.29,3.33,7.41,107.98,81.66,8.4,0.71,0.94,22.26,0.06,0.07369227755632332,0.7975143047830924
Aluminium,Recycled,Recycled,93.35,7.92,14.85,241.17,30.19,3.03,0.33,2.02,14.67,0.14,0.16382485637864258,0.32016823136818684
Steel,Primary,Recycled,75.93,4.96,4.81,203.35,83.75,8.69,0.43,1.44,13.19,0.14,0.11358215377524401,0.7003259176863181
Tin,Hybrid,Reused,55.15,1.01,1.83,238.63,67.26,3.06,0.56,24.83,14.97,0.06,0.055456091023511477,0.5611156395995551
Steel,Hybrid,Landfilled,63.24,3.66,7.24,196.04,21.83,2.57,0.38,1.33,27.12,0.13,0.09204428856381737,0.29649463848720803
Nickel,Hybrid,Landfilled,82.27,7.64,17.52,126.49,62.46,1.33,0.4,19.14,8.98,0.16,0.1539379709988776,0.43942843159065637
Gold,Hybrid,Recycled,436.05,32.32,190.01,78.52,27.59,3.48,0.11,4460.05,41.41,0.04,0.7989326255092459,0.23177935483870968
Cobalt,Recycled,Reused,82.75,5.9,5.05,270.19,47.56,2.28,0.36,25.8,10.58,0.06,0.12860218433212578,0.3849630255839822
Zinc,Primary,Recycled,101.25,4.97,5.18,122.48,16.86,4.91,0.54,3.03,6.18,0.18,0.1341909898670725,0.3926724805339266
Copper,Recycled,Landfilled,89.1,4.21,14.91,321.94,60.1,6.21,0.67,5.59,16.07,0.07,0.12335456942273276,0.6465535038932146
Tin,Recycled,Reused,50.58,2.69,2.91,88.27,75.3,1.92,0.43,15.49,13.56,0.05,0.06932338699584896,0.515914126807564
Lead,Recycled,Recycled,59.17,4.87,4.3,97.99,42.71,3.61,0.6,1.6,10.46,0.1,0.09892981442104692,0.4911514571746385
Aluminium,Hybrid,Reused,60.25,8.25,14.57,253.76,61.78,2.2,0.33,2.55,5.28,0.27,0.1404510187433069,0.42806327030033375
Gold,Recycled,Landfilled,404.65,35.69,214.14,140.23,36.29,5.85,0.39,3880.43,30.63,0.05,0.8236044719432343,0.43130460511679647
Cobalt,Recycled,Landfilled,55.78,5.45,7.08,397.58,16.72,4.4,0.49,30.56,18.23,0.07,0.10387227862686763,0.36076654060066743
Cobalt,Primary,Reused,142.56,4.25,10.8,200.79,42.07,3.13,0.12,29.62,14.8,0.11,0.163794772836451,0.28591292547274755
Copper,Recycled,Landfilled,50.63,8.33,7.91,195.78,68.97,4.85,0.36,7.0,13.67,0.19,0.129111724984654,0.5277776640711902
Nickel,Recycled,Landfilled,65.04,12.01,16.0,439.56,44.55,3.97,0.63,11.31,10.52,0.07,0.18284715866224427,0.5185203559510567
Copper,Hybrid,Landfilled,122.34,6.27,11.08,248.86,75.52,6.39,0.39,6.18,12.64,0.17,0.1680056863007119,0.6002379532814238
Zinc,Primary,Reused,111.67,5.37,11.06,234.99,71.79,4.82,0.58,3.15,5.85,0.17,0.1504515372797634,0.6263902558398221
Cobalt,Primary,Recycled,69.63,4.83,5.81,151.73,68.44,1.11,0.51,21.52,6.58,0.16,0.10790716073210208,0.5024541045606229
Lead,Hybrid,Landfilled,61.59,4.0,4.07,293.25,32.77,5.73,0.77,1.97,14.67,0.02,0.0920108456183244,0.5665549721913238
Zinc,Recycled,Landfilled,36.64,7.74,11.49,327.95,25.86,3.26,0.55,2.4,13.8,0.12,0.1144021942891044,0.3959650278086764
Zinc,Hybrid,Recycled,59.94,7.78,4.69,262.84,76.7,4.79,0.69,3.93,6.17,0.07,0.12891334544753555,0.6893628476084538
Aluminium,Recycled,Landfilled,54.67,5.66,17.07,240.13,89.03,6.51,0.19,1.52,16.35,0.26,0.1117463137519328,0.5769475862068966
Silver,Recycled,Reused,215.3,13.22,63.32,174.09,30.5,2.11,0.13,917.53,24.82,0.02,0.34674933899567806,0.22094104560622913
Copper,Hybrid,Recycled,126.69,8.86,13.43,266.01,55.94,4.2,0.28,7.33,23.01,0.03,0.19896029178904223,0.4291971523915462
Cobalt,Recycled,Recycled,132.58,8.54,6.64,311.87,24.11,3.28,0.53,23.58,17.21,0.16,0.1959450315134396,0.3814099666295885
Gold,Hybrid,Recycled,400.06,34.57,210.75,188.83,34.56,1.18,0.34,3272.59,35.89,0.04,0.8064679664850596,0.3004913904338154
Tin,Primary,Landfilled,65.99,2.25,4.65,216.4,23.77,3.81,0.44,18.05,9.7,0.03,0.07841429564647737,0.3558408453837597
Silver,Primary,Landfilled,315.53,10.16,93.6,180.84,58.58,1.49,0.15,1475.26,23.42,0.05,0.4165418007150823,0.32746794215795333
Gold,Primary,Landfilled,446.83,21.17,287.79,55.74,51.75,3.08,0.13,3151.18,30.9,0.02,0.7612353859296568,0.3275205784204672
Nickel,Recycled,Reused,61.17,6.28,11.77,252.91,45.1,5.68,0.34,17.58,12.62,0.12,0.1196151488007883,0.4427626251390434
Silver,Primary,Recycled,311.93,18.59,143.6,161.26,66.27,1.52,0.26,879.03,28.69,0.04,0.531324241319097,0.40289535038932145
Tin,Recycled,Landfilled,57.98,5.74,4.0,149.7,19.07,1.45,0.14,17.81,7.62,0.08,0.10647965093166782,0.16453806451612904
Nickel,Hybrid,Recycled,127.3,14.63,8.45,301.91,49.48,1.8,0.36,17.31,19.72,0.07,0.25384198127064206,0.3819644938820912
Aluminium,Primary,Recycled,165.73,6.61,13.34,428.62,44.53,1.4,0.36,2.02,13.85,0.17,0.20763602178989632,0.3532657174638487
Steel,Hybrid,Recycled,39.36,7.11,8.38,380.55,61.84,2.46,0.53,0.83,14.3,0.13,0.10820338552145614,0.5140874749721913
Aluminium,Hybrid,Recycled,185.01,6.81,12.11,302.77,57.45,5.46,0.66,2.61,19.67,0.18,0.2242449317785108,0.6152682981090101
Nickel,Hybrid,Recycled,167.09,8.65,10.03,353.16,12.73,1.09,0.47,11.83,11.65,0.14,0.22692219429509303,0.2631691657397108
Cobalt,Hybrid,Landfilled,110.67,7.52,4.81,121.25,41.68,2.01,0.27,35.12,13.79,0.16,0.16698889547767473,0.31943635150166855
Gold,Hybrid,Landfilled,476.45,31.39,296.13,81.47,66.38,4.77,0.38,4739.98,13.02,0.05,0.8927255363141839,0.5236379087875417
Aluminium,Hybrid,Reused,152.42,11.81,12.14,456.87,20.65,7.29,0.17,2.85,10.5,0.27,0.24819761629186404,0.31278020022246944
Cobalt,Recycled,Reused,157.4,4.45,9.08,258.2,38.06,1.34,0.12,39.17,6.51,0.04,0.17652386310427598,0.2300509010011124
Nickel,Hybrid,Landfilled,135.76,9.14,6.75,226.28,15.11,1.77,0.13,16.32,8.01,0.23,0.20456464821166717,0.15181708565072302
Cobalt,Primary,Reused,101.26,9.4,8.49,268.19,43.25,2.63,0.54,22.4,17.19,0.17,0.18071732530530657,0.44750945494994443
Gold,Primary,Reused,346.1,20.32,188.89,157.23,59.65,3.13,0.43,3208.22,47.72,0.04,0.6061741576981388,0.4802329254727476
Tin,Primary,Recycled,36.18,5.6,3.31,167.57,45.41,3.69,0.23,21.15,11.83,0.03,0.08717394457468843,0.355731212458287
Lead,Recycled,Landfilled,88.99,2.97,6.27,132.03,29.67,1.06,0.41,2.11,9.93,0.1,0.10510190582990733,0.30626175750834267
Aluminium,Recycled,Reused,169.76,6.97,14.03,462.77,19.82,1.51,0.51,1.85,12.26,0.16,0.21492201220458612,0.31687288097886546
Steel,Recycled,Reused,23.47,7.43,3.41,188.58,32.58,2.38,0.23,0.75,11.44,0.04,0.09537415385251626,0.27526771968854286
Nickel,Primary,Reused,178.97,5.99,6.99,432.25,12.91,5.39,0.65,12.32,7.17,0.09,0.20779518743252592,0.4315510122358176
Nickel,Recycled,Reused,77.08,12.25,9.16,103.45,13.11,5.89,0.35,11.75,6.03,0.15,0.19032143295506876,0.3234744827586207
Copper,Recycled,Landfilled,116.21,4.2,11.26,151.94,75.55,6.04,0.14,6.63,11.49,0.07,0.14251507037368155,0.49257152391546166
Tin,Primary,Reused,53.83,1.79,3.09,253.28,66.05,4.02,0.46,24.91,9.34,0.08,0.06304194867581413,0.5376327030033371
Tin,Recycled,Landfilled,23.63,5.53,5.37,130.16,13.67,1.37,0.6,18.87,9.19,0.08,0.0778044562802972,0.3251583092324805
Copper,Hybrid,Recycled,55.38,4.88,14.14,315.86,64.42,3.16,0.2,5.95,8.85,0.18,0.10255867935428326,0.40798033370411574
Steel,Recycled,Reused,99.54,5.82,9.22,278.97,86.81,5.95,0.31,1.18,22.54,0.08,0.144018756622431,0.6036092992213571
Gold,Hybrid,Recycled,344.38,38.89,220.39,110.04,36.93,4.02,0.4,3032.08,47.4,0.02,0.8115497828771454,0.3971527030033371
Steel,Hybrid,Landfilled,47.59,1.81,2.32,361.73,58.98,5.49,0.34,1.37,36.72,0.11,0.05773503038016677,0.4940557063403782
Silver,Primary,Recycled,213.59,23.07,145.61,117.8,69.06,4.2,0.24,1007.61,23.06,0.03,0.49878019286583997,0.46567715239154617
Gold,Primary,Landfilled,417.06,21.64,130.03,93.67,65.11,5.14,0.15,3714.67,28.46,0.02,0.6369120272428539,0.43478927697441605
Gold,Primary,Recycled,378.82,28.49,276.73,181.21,65.42,2.2,0.11,4279.46,17.99,0.04,0.7726540631275899,0.3546232703003337
Tin,Recycled,Recycled,58.57,2.94,2.24,202.47,40.23,1.25,0.3,15.88,7.18,0.09,0.07777114451804147,0.3087286763070078
Steel,Primary,Landfilled,56.11,2.7,7.6,387.99,63.54,1.76,0.5,1.7,24.95,0.13,0.0769762402672245,0.49331461624026696
Steel,Recycled,Reused,55.28,7.93,4.39,159.23,55.36,4.91,0.43,0.94,24.44,0.08,0.12648454845812893,0.5026724805339267
Cobalt,Recycled,Landfilled,99.34,5.11,4.54,282.69,10.74,3.57,0.22,35.35,7.35,0.18,0.13363610094223985,0.21038157953281428
Gold,Primary,Recycled,398.54,37.38,185.11,129.78,85.0,2.73,0.28,3972.44,18.07,0.04,0.8162607355608703,0.5127341490545051
Tin,Recycled,Landfilled,36.56,3.44,5.17,190.44,69.13,4.14,0.14,16.21,13.78,0.04,0.06711296520658701,0.42462233592880977
Nickel,Recycled,Reused,83.56,8.34,15.53,183.47,16.36,1.6,0.36,14.05,8.0,0.22,0.16064501059058453,0.24503510567296996
Lead,Primary,Landfilled,53.87,4.54,5.46,279.84,75.31,5.34,0.33,2.11,7.53,0.13,0.09216125644359366,0.5520386651835373
Tin,Primary,Recycled,48.67,2.07,1.17,263.84,46.15,3.29,0.16,23.93,14.65,0.09,0.060433068654846565,0.3217924360400445
Copper,Primary,Recycled,116.79,7.87,11.61,300.19,40.75,2.32,0.12,7.69,24.31,0.04,0.17992178248193025,0.2626129032258065
Aluminium,Hybrid,Landfilled,90.55,4.2,18.28,392.14,43.16,3.99,0.57,1.97,12.67,0.13,0.1266621584584959,0.48940529477196887
Cobalt,Recycled,Landfilled,97.7,9.0,14.87,158.62,25.29,4.06,0.6,35.91,19.43,0.1,0.17812193825694264,0.4314825806451613
Steel,Hybrid,Landfilled,34.52,2.87,9.72,282.66,54.12,7.99,0.36,0.89,13.2,0.12,0.06281319254130732,0.5382330589543938
Nickel,Hybrid,Reused,62.97,14.46,5.95,301.11,43.35,5.21,0.52,12.95,15.47,0.25,0.19899500110155427,0.4973065628476085
Steel,Primary,Recycled,51.91,7.19,4.39,118.9,44.23,5.72,0.69,1.22,34.85,0.12,0.11638588895280046,0.5801725027808676
Tin,Primary,Recycled,69.81,5.12,3.7,133.75,19.65,1.27,0.25,15.85,6.95,0.05,0.10954488724852719,0.20685361512791992
Tin,Hybrid,Reused,35.49,1.67,5.15,257.33,20.28,1.71,0.45,20.88,10.08,0.03,0.04853894533315998,0.29916226918798666
Steel,Hybrid,Landfilled,29.72,5.81,8.53,384.57,73.1,4.92,0.55,1.04,18.83,0.14,0.08758584708824434,0.6218549499443826
Copper,Recycled,Reused,86.43,4.49,10.72,180.65,62.61,2.83,0.39,7.56,23.78,0.16,0.12122455018456661,0.46939884315906566
Aluminium,Primary,Recycled,158.58,10.32,8.91,370.92,77.84,6.27,0.44,2.14,10.88,0.15,0.23606946149531197,0.6268483203559511
Tin,Primary,Reused,56.4,1.81,3.97,174.08,69.87,2.55,0.23,16.01,8.07,0.07,0.06588543882625354,0.42820969966629596
Lead,Hybrid,Landfilled,54.3,6.21,5.25,111.65,72.69,3.03,0.76,2.24,13.55,0.08,0.10906949837528239,0.6621682313681869
Aluminium,Recycled,Reused,181.9,4.98,12.83,472.18,32.8,5.46,0.62,2.03,16.64,0.18,0.20393173704463008,0.50066829810901
Zinc,Hybrid,Recycled,102.78,3.04,5.97,150.92,52.56,1.71,0.2,2.62,11.82,0.12,0.11663733811928689,0.3282822691879867
Nickel,Recycled,Landfilled,75.78,10.35,9.05,352.95,33.45,2.36,0.53,14.82,15.48,0.11,0.1702030167795386,0.3983027808676307
Nickel,Hybrid,Reused,70.64,8.04,15.88,115.91,70.79,5.22,0.41,14.59,15.16,0.14,0.14753855424467105,0.5632890322580645
Steel,Recycled,Reused,33.95,5.16,2.81,365.98,55.07,4.35,0.41,1.93,17.1,0.08,0.08065488669307923,0.4810541935483871
Cobalt,Hybrid,Reused,92.78,11.53,9.65,271.3,19.55,1.87,0.36,31.88,18.57,0.15,0.19601015543670905,0.2638017797552837
Silver,Recycled,Reused,294.29,16.92,102.52,166.91,60.01,4.55,0.19,987.12,22.35,0.02,0.47310985867883126,0.41726358175750833
Nickel,Recycled,Reused,64.91,12.18,7.08,244.74,18.29,3.6,0.34,18.38,6.28,0.07,0.1784952996917267,0.28924898776418245
Silver,Recycled,Recycled,161.25,12.85,126.07,196.01,54.65,2.36,0.22,729.89,11.97,0.02,0.3416399297360995,0.35910278086763076
Lead,Recycled,Recycled,29.07,5.03,1.81,169.37,44.87,1.15,0.45,2.35,9.52,0.13,0.07478254556847896,0.3850639822024472
Aluminium,Recycled,Recycled,157.0,8.52,12.61,210.64,41.77,5.76,0.14,3.0,13.3,0.05,0.21926790567613513,0.3512223804226919
Nickel,Hybrid,Reused,63.55,8.43,7.55,142.14,70.98,2.03,0.63,19.04,16.99,0.16,0.14021101276061756,0.5810812903225806
Copper,Primary,Landfilled,133.55,6.79,12.68,369.21,21.69,4.58,0.56,7.17,5.7,0.19,0.1832446290201386,0.41265098998887656
Cobalt,Primary,Recycled,121.51,11.93,5.31,104.93,29.95,4.09,0.37,29.95,16.18,0.07,0.22010794786126042,0.35878998887652946
Nickel,Recycled,Recycled,129.01,10.32,9.2,349.74,66.97,5.79,0.44,19.18,8.38,0.25,0.21259974746827373,0.5726897886540601
Steel,Primary,Reused,30.17,6.56,9.84,173.39,78.79,6.02,0.24,1.51,13.85,0.07,0.09632139687386378,0.5450865850945495
Cobalt,Hybrid,Reused,148.07,6.69,5.19,360.9,62.87,3.54,0.54,36.83,9.51,0.08,0.1888691995593116,0.546234171301446
Silver,Hybrid,Landfilled,209.72,18.67,74.98,143.1,35.9,4.19,0.4,958.75,28.21,0.02,0.40457303457603927,0.3968146829810901
Cobalt,Recycled,Recycled,151.42,4.36,4.77,325.57,57.75,3.67,0.1,31.33,16.23,0.05,0.16796410265738673,0.3526462736373749
Copper,Primary,Reused,46.77,9.5,8.98,159.47,70.46,2.84,0.22,6.3,14.79,0.12,0.13843924764437845,0.4330213125695217
Copper,Primary,Recycled,106.24,4.26,12.04,204.66,49.73,6.05,0.11,5.57,19.61,0.19,0.13565696559678983,0.3775139933259177
Zinc,Hybrid,Landfilled,62.33,2.44,9.41,241.58,73.52,4.58,0.3,2.91,14.83,0.17,0.080560071882933,0.5159709899888766
Copper,Hybrid,Recycled,71.06,9.72,11.2,224.96,48.19,5.39,0.22,6.98,8.29,0.05,0.16155802390325685,0.4006710122358176
Nickel,Primary,Recycled,141.95,9.47,15.73,200.35,53.55,4.66,0.11,18.04,6.08,0.15,0.21880722300072564,0.361870745272525
Silver,Primary,Recycled,219.75,18.94,63.01,83.13,71.41,3.66,0.21,1428.96,13.76,0.03,0.4073179890995901,0.45106380422691883
Silver,Hybrid,Landfilled,226.73,18.59,145.25,120.54,24.54,4.66,0.26,1454.91,21.75,0.05,0.46424408059443245,0.305830745272525
Lead,Recycled,Recycled,88.33,2.08,1.01,121.21,51.53,4.92,0.46,2.47,10.09,0.15,0.09216391979877672,0.4995749499443827
Zinc,Hybrid,Reused,75.93,5.7,4.9,179.38,41.97,3.77,0.52,2.56,14.8,0.07,0.12104402024212747,0.45975096774193547
Steel,Recycled,Landfilled,24.99,6.11,5.18,364.48,61.72,4.79,0.72,1.16,32.94,0.02,0.08456753268738296,0.6414428476084538
Copper,Primary,Recycled,83.71,5.25,5.78,245.3,51.06,3.04,0.24,6.24,23.08,0.13,0.12335558587397599,0.36787070077864303
Nickel,Primary,Landfilled,124.49,8.03,16.39,228.11,59.37,5.26,0.33,12.44,19.69,0.16,0.19087154780763388,0.4864989098998888
Tin,Primary,Landfilled,23.03,5.68,3.05,226.35,79.04,3.33,0.43,23.63,14.97,0.07,0.07727760810973204,0.5622423136818688
