Metal,Process_Type,End_of_Life,Energy_Use_MJ_per_kg,Emission_kgCO2_per_kg,Water_Use_l_per_kg,Transport_km,Recycled_Content_pct,Reuse_Potential_score,Circularity_Index,Cost_per_kg,Product_Life_Extension_years,Waste_kg_per_kg_metal
Tin,Recycled,Reused,40.02,3.45,1.19,148.61,65.21,1.23,0.52,17.05,12.35,0.04
Steel,Hybrid,Reused,50.14,7.11,7.87,331.54,47.54,2.11,0.28,1.5,21.61,0.04
Copper,Primary,Recycled,56.29,9.54,11.74,192.49,52.5,3.82,0.24,5.24,19.84,0.07
Silver,Hybrid,Landfilled,197.1,10.28,100.38,184.23,72.67,3.83,0.25,708.99,24.88,0.04
Zinc,Primary,Recycled,80.16,7.21,4.76,228.79,24.1,4.87,0.56,2.06,13.15,0.11
Tin,Recycled,Reused,32.4,4.23,3.4,131.11,61.55,2.14,0.24,19.99,11.39,0.02
Lead,Recycled,Landfilled,39.9,3.59,7.29,282.28,78.08,5.02,0.76,1.29,9.32,0.14
Aluminium,Primary,Recycled,52.38,9.85,8.45,405.46,67.23,7.8,0.26,2.46,7.34,0.27
Aluminium,Recycled,Reused,157.77,11.87,18.98,433.11,36.99,2.61,0.14,2.36,17.19,0.12
Cobalt,Primary,Landfilled,137.71,6.66,9.2,283.02,25.57,1.04,0.34,36.72,8.26,0.18
Zinc,Recycled,Landfilled,89.64,4.23,5.74,278.62,44.68,2.7,0.61,2.43,10.17,0.03
Steel,Recycled,Reused,21.87,5.69,5.01,362.47,83.8,7.02,0.43,0.87,33.34,0.13
Gold,Primary,Reused,365.71,23.41,219.78,176.88,75.37,4.65,0.39,3241.96,33.04,0.03
Aluminium,Recycled,Recycled,53.81,11.94,18.15,294.1,39.79,4.76,0.3,2.11,8.59,0.15
Tin,Recycled,Landfilled,49.62,4.11,2.83,192.55,38.69,4.78,0.23,19.79,10.61,0.05
Nickel,Primary,Landfilled,130.92,11.53,9.19,165.52,27.75,3.14,0.36,13.66,17.99,0.22
Gold,Hybrid,Landfilled,404.66,25.87,138.42,132.86,55.35,5.46,0.37,3998.12,45.36,0.03
Gold,Hybrid,Reused,492.68,25.84,205.52,97.8,26.36,2.56,0.41,4146.56,12.09,0.04
Nickel,Recycled,Reused,76.75,10.71,12.54,443.71,78.96,1.45,0.12,14.56,19.61,0.23
Tin,Primary,Recycled,32.23,1.56,5.7,81.33,23.98,3.6,0.17,23.56,8.8,0.07
Cobalt,Recycled,Landfilled,136.28,5.83,12.98,279.76,61.41,2.09,0.56,28.31,16.76,0.15
Lead,Recycled,Landfilled,37.02,6.29,4.11,161.97,53.89,4.34,0.36,2.14,9.38,0.03
Tin,Recycled,Reused,37.24,5.93,2.18,131.89,76.52,2.55,0.46,19.28,9.21,0.09
Steel,Hybrid,Landfilled,31.85,7.89,5.73,244.79,48.59,8.93,0.73,1.17,39.97,0.03
Zinc,Hybrid,Recycled,35.75,6.93,8.27,326.2,50.02,3.85,0.57,3.19,11.42,0.04
Tin,Primary,Recycled,70.83,4.59,2.89,250.49,68.49,4.49,0.25,15.26,14.54,0.09
Silver,Recycled,Reused,254.76,21.5,100.84,147.14,31.53,4.23,0.53,1232.28,25.99,0.02
Aluminium,Primary,Reused,103.21,9.97,11.86,264.28,54.26,4.13,0.17,1.93,10.83,0.21
Aluminium,Hybrid,Reused,147.55,4.93,15.17,325.59,64.04,5.87,0.17,2.73,19.72,0.16
Lead,Recycled,Reused,83.98,5.13,7.69,94.8,27.26,1.68,0.47,1.91,10.55,0.07
Cobalt,Hybrid,Reused,72.48,6.43,14.3,257.35,21.42,4.91,0.19,20.37,15.54,0.08
Gold,Recycled,Landfilled,438.1,33.95,291.85,92.26,40.62,3.05,0.25,4394.19,24.05,0.02
Steel,Recycled,Recycled,91.16,6.3,8.82,145.56,59.36,5.07,0.3,1.25,28.78,0.13
Copper,Recycled,Reused,131.89,3.31,3.97,244.56,11.59,3.65,0.59,6.23,9.15,0.05
Tin,Recycled,Recycled,74.7,1.56,5.34,218.72,41.67,4.05,0.44,22.27,14.31,0.08
Silver,Primary,Recycled,315.55,17.01,90.53,72.2,54.58,4.34,0.39,915.18,13.93,0.03
Silver,Recycled,Landfilled,232.81,19.07,93.44,148.58,54.85,1.09,0.35,986.26,27.06,0.04
Aluminium,Primary,Recycled,106.84,9.66,16.02,406.42,63.25,5.59,0.37,2.93,17.22,0.2
Tin,Recycled,Reused,58.27,1.88,3.64,222.93,43.21,4.55,0.18,18.34,7.01,0.1
Copper,Recycled,Reused,60.1,4.78,7.77,248.82,55.98,6.96,0.26,6.31,22.5,0.09
Lead,Hybrid,Recycled,67.18,3.53,1.13,172.81,74.69,3.8,0.29,2.19,10.27,0.1
Steel,Hybrid,Landfilled,98.92,6.46,4.21,394.24,34.38,8.21,0.48,1.86,31.1,0.03
Gold,Primary,Landfilled,435.77,28.3,281.6,128.64,88.4,1.55,0.23,4406.5,48.05,0.03
Nickel,Recycled,Landfilled,72.71,13.27,12.5,437.52,72.27,2.16,0.34,14.45,19.8,0.21
Lead,Primary,Landfilled,45.07,3.07,2.54,296.35,62.82,3.89,0.59,1.63,9.78,0.1
Aluminium,Hybrid,Recycled,131.27,11.8,8.58,250.32,15.8,2.65,0.23,2.64,12.74,0.27
Silver,Primary,Recycled,309.52,13.77,85.86,163.37,74.32,4.51,0.41,1429.15,16.58,0.04
Lead,Hybrid,Recycled,39.74,6.75,3.73,194.59,80.97,1.9,0.4,1.64,5.94,0.12
Copper,Recycled,Recycled,123.09,8.07,9.74,378.52,55.34,4.06,0.51,6.6,13.6,0.2
Nickel,Recycled,Recycled,137.74,14.11,16.61,161.38,63.65,3.47,0.54,15.54,15.37,0.06
Lead,Recycled,Reused,38.31,6.54,7.71,191.38,45.52,2.84,0.75,1.5,5.52,0.1
Tin,Primary,Landfilled,33.95,3.62,1.01,206.93,76.19,1.06,0.56,17.52,12.75,0.03
Lead,Primary,Reused,88.88,3.31,3.28,204.03,45.81,4.02,0.25,2.0,8.38,0.13
Nickel,Primary,Reused,168.67,7.69,17.25,204.88,67.65,3.65,0.34,14.05,17.21,0.13
Lead,Hybrid,Reused,26.19,3.18,3.66,234.24,77.67,6.64,0.36,1.85,6.81,0.14
Copper,Recycled,Landfilled,148.55,8.52,6.13,249.13,60.33,6.49,0.48,7.58,9.35,0.09
Nickel,Recycled,Landfilled,134.83,11.56,14.85,321.47,37.51,2.4,0.48,13.51,15.34,0.08
Cobalt,Recycled,Landfilled,146.19,4.91,7.84,277.12,45.1,4.75,0.14,30.78,8.36,0.08
Gold,Primary,Reused,458.19,23.04,159.67,98.76,85.64,5.28,0.3,4016.86,18.01,0.03
Steel,Recycled,Landfilled,98.16,7.64,5.3,367.18,36.53,8.41,0.46,1.87,31.5,0.14
Zinc,Primary,Reused,51.97,5.98,11.8,342.31,51.45,4.33,0.3,2.76,7.41,0.19
Zinc,Recycled,Recycled,92.95,2.75,9.77,230.99,16.19,3.33,0.57,3.85,6.1,0.08
Silver,Recycled,Recycled,269.94,20.58,62.78,114.47,43.14,4.01,0.13,811.29,22.26,0.03
Tin,Hybrid,Reused,22.23,4.97,2.88,102.2,24.93,2.96,0.1,20.51,8.24,0.05
Zinc,Recycled,Landfilled,76.68,7.17,11.85,329.16,41.3,1.74,0.57,2.54,13.25,0.06
Steel,Primary,Landfilled,33.11,5.69,6.63,124.36,51.56,7.42,0.68,0.76,20.3,0.02
Lead,Recycled,Landfilled,66.26,4.92,1.48,92.52,25.79,3.54,0.29,1.92,10.95,0.06
Silver,Hybrid,Landfilled,344.27,18.98,78.35,96.25,84.12,1.91,0.12,1216.3,9.82,0.05
Gold,Primary,Recycled,402.54,29.64,243.69,163.79,76.7,4.86,0.14,3749.21,20.53,0.02
Copper,Hybrid,Reused,46.76,8.53,6.17,171.9,5.69,4.29,0.46,7.19,22.42,0.07
Gold,Primary,Landfilled,312.04,32.56,225.14,83.65,23.24,3.02,0.48,3473.24,29.07,0.02
Copper,Recycled,Recycled,118.66,7.47,5.32,213.44,47.93,3.37,0.53,5.46,23.41,0.18
Steel,Recycled,Reused,62.81,4.21,7.44,168.0,89.69,2.39,0.2,1.43,32.42,0.14
Tin,Recycled,Recycled,24.44,5.12,3.11,90.84,43.52,3.08,0.27,18.81,13.95,0.1
Steel,Primary,Landfilled,28.64,4.76,3.39,360.77,40.4,2.23,0.27,1.49,31.35,0.12
Silver,Hybrid,Reused,192.13,18.18,99.0,58.88,35.16,1.62,0.34,1034.41,15.32,0.04
Silver,Primary,Landfilled,201.95,19.24,103.01,157.75,44.82,2.21,0.15,940.24,10.05,0.01
Tin,Primary,Landfilled,63.7,5.66,1.84,82.3,72.59,4.86,0.43,22.82,14.22,0.05
Aluminium,Hybrid,Recycled,69.07,6.68,13.28,256.33,56.4,3.22,0.2,1.84,17.05,0.22
Cobalt,Primary,Reused,74.49,4.42,7.98,155.33,17.1,1.83,0.3,21.31,5.7,0.14
Copper,Recycled,Reused,77.17,3.92,13.2,352.01,59.25,5.05,0.39,7.25,7.57,0.1
Aluminium,Primary,Landfilled,141.76,6.79,8.68,267.92,67.93,7.84,0.54,1.52,8.41,0.21
Lead,Recycled,Recycled,60.46,3.04,6.89,250.49,76.14,5.61,0.45,1.84,9.84,0.03
Lead,Primary,Recycled,75.49,5.11,1.2,133.14,63.07,3.51,0.69,2.3,8.64,0.07
Aluminium,Hybrid,Recycled,80.68,7.15,14.83,270.88,62.75,2.21,0.26,2.62,16.27,0.13
Zinc,Primary,Recycled,108.03,6.72,5.35,176.47,34.06,2.42,0.43,2.31,13.97,0.08
Tin,Recycled,Reused,66.6,1.29,4.12,190.13,13.91,1.51,0.57,19.85,13.8,0.04
Copper,Recycled,Landfilled,121.52,7.21,7.4,377.16,43.37,5.69,0.66,6.38,7.01,0.08
Silver,Primary,Landfilled,348.33,14.75,69.88,133.98,61.31,2.84,0.49,1324.6,7.76,0.03
Lead,Hybrid,Recycled,45.12,5.46,2.19,146.98,84.4,5.92,0.43,1.57,8.36,0.03
Lead,Hybrid,Landfilled,60.54,7.0,2.14,165.23,57.93,3.39,0.78,2.32,13.33,0.05
Gold,Recycled,Recycled,486.88,22.1,201.46,102.93,57.89,1.1,0.36,3024.73,49.49,0.05
Tin,Primary,Reused,32.65,2.51,1.71,178.71,62.56,4.07,0.36,16.99,5.02,0.06
Zinc,Recycled,Recycled,116.82,6.77,10.5,322.27,56.91,1.43,0.63,2.33,7.27,0.05
Steel,Recycled,Recycled,81.68,2.0,7.41,215.18,78.72,3.03,0.64,1.63,16.21,0.13
Cobalt,Recycled,Landfilled,72.95,7.8,7.93,311.69,60.72,4.52,0.43,22.83,15.5,0.16
Aluminium,Recycled,Reused,177.28,9.91,17.3,359.33,31.72,7.92,0.24,2.59,13.93,0.14
Nickel,Hybrid,Recycled,60.23,6.87,4.83,370.98,22.0,5.42,0.48,15.03,7.86,0.24
Lead,Recycled,Reused,45.27,3.37,6.85,203.34,63.79,2.8,0.23,2.01,9.36,0.14
Gold,Hybrid,Landfilled,373.76,24.23,282.14,82.11,51.09,3.44,0.44,4408.46,20.06,0.04
Nickel,Primary,Recycled,144.16,11.65,12.84,188.78,61.86,2.95,0.36,18.98,15.77,0.18
Lead,Primary,Recycled,76.49,2.12,4.41,230.02,21.96,5.86,0.75,1.21,9.05,0.05
Gold,Hybrid,Recycled,319.62,28.86,277.92,138.09,43.62,3.69,0.6,4031.66,47.53,0.05
Cobalt,Hybrid,Landfilled,145.14,6.45,8.97,309.16,67.14,1.68,0.57,30.75,18.68,0.16
Cobalt,Recycled,Landfilled,109.62,10.34,6.98,321.96,32.06,4.04,0.47,27.85,12.2,0.19
Cobalt,Hybrid,Landfilled,96.17,6.14,5.71,239.42,46.92,4.85,0.39,37.64,6.43,0.16
Aluminium,Hybrid,Reused,56.03,4.03,12.29,475.49,59.81,3.16,0.15,2.01,10.89,0.16
Aluminium,Primary,Landfilled,80.34,4.96,18.04,386.88,33.12,5.03,0.36,2.14,13.03,0.22
Aluminium,Hybrid,Landfilled,176.7,8.12,13.39,490.53,20.34,1.42,0.43,2.17,16.18,0.07
Lead,Recycled,Recycled,28.24,2.91,1.27,245.81,68.74,3.17,0.7,1.43,6.7,0.07
Gold,Recycled,Recycled,301.4,21.89,288.84,95.53,38.48,4.7,0.29,4477.69,23.13,0.02
Lead,Primary,Landfilled,69.95,5.26,4.63,185.5,72.68,5.47,0.32,1.5,14.55,0.13
Lead,Recycled,Recycled,65.15,4.77,7.21,214.68,85.02,2.3,0.27,1.29,13.85,0.1
Steel,Recycled,Landfilled,45.32,4.92,4.29,399.77,63.65,6.56,0.63,1.62,12.05,0.13
Nickel,Primary,Reused,135.59,14.54,7.71,362.04,59.88,3.76,0.2,19.89,10.22,0.13
Cobalt,Primary,Recycled,68.74,8.58,12.43,112.3,52.05,1.98,0.18,28.28,6.16,0.08
Nickel,Recycled,Recycled,62.1,7.27,15.24,396.69,47.84,5.4,0.11,11.03,18.39,0.17
Silver,Recycled,Reused,272.04,20.05,75.18,162.46,57.25,1.99,0.22,1082.18,7.07,0.04
Lead,Primary,Reused,66.02,4.3,5.13,294.34,64.95,2.31,0.27,2.47,11.7,0.13
Lead,Recycled,Landfilled,51.26,4.79,5.93,166.55,33.83,4.23,0.27,2.5,7.72,0.04
Steel,Hybrid,Recycled,80.62,6.96,2.79,320.74,24.87,7.83,0.38,1.22,33.31,0.08
Aluminium,Hybrid,Landfilled,127.4,9.38,16.16,233.88,10.12,7.2,0.56,1.81,19.42,0.1
Tin,Hybrid,Landfilled,23.61,3.73,4.49,132.75,25.77,2.57,0.37,21.15,11.88,0.03
Aluminium,Hybrid,Recycled,173.9,4.9,19.42,493.4,86.18,6.54,0.7,2.46,16.77,0.06
Nickel,Primary,Recycled,120.7,12.17,5.45,405.83,72.2,1.17,0.54,13.05,18.09,0.22
Nickel,Primary,Reused,151.98,5.28,13.53,373.54,16.8,2.89,0.22,17.82,9.87,0.15
Aluminium,Recycled,Landfilled,183.94,6.28,7.74,400.27,55.23,3.0,0.19,2.72,7.81,0.14
Tin,Hybrid,Recycled,27.83,4.23,5.91,158.42,73.55,4.26,0.21,17.47,14.43,0.04
Steel,Hybrid,Reused,59.22,7.52,8.42,284.54,20.3,3.62,0.44,1.87,39.58,0.11
Tin,Recycled,Landfilled,31.62,1.89,2.56,116.28,49.2,3.18,0.5,19.61,13.47,0.09
Zinc,Recycled,Recycled,36.25,7.9,7.11,123.14,43.75,5.12,0.6,3.8,12.73,0.1
Gold,Recycled,Landfilled,386.92,31.34,277.61,98.65,25.7,1.29,0.1,4124.79,44.14,0.02
Lead,Recycled,Landfilled,75.92,2.16,7.77,197.7,74.51,1.56,0.52,1.67,11.74,0.09
Silver,Hybrid,Landfilled,294.54,15.44,75.9,158.37,52.44,3.93,0.54,1419.71,11.55,0.03
Aluminium,Hybrid,Recycled,161.27,6.32,18.39,318.97,21.98,4.88,0.46,2.96,12.48,0.21
Gold,Recycled,Landfilled,349.7,33.93,202.65,163.66,81.95,3.14,0.34,3193.68,34.76,0.03
Lead,Recycled,Recycled,81.53,5.98,3.32,111.6,87.34,2.19,0.43,1.94,5.64,0.03
Gold,Recycled,Recycled,347.93,27.97,260.2,83.74,46.29,2.15,0.21,3551.13,29.47,0.02
Gold,Primary,Reused,403.48,28.9,297.5,123.71,37.77,3.35,0.26,4998.73,44.53,0.03
Cobalt,Hybrid,Landfilled,96.99,4.76,4.41,253.57,25.77,3.61,0.29,21.72,10.73,0.17
Tin,Primary,Reused,34.12,1.19,2.9,205.38,12.25,2.5,0.29,18.69,12.13,0.03
Tin,Primary,Recycled,23.19,2.79,2.07,90.81,78.91,4.03,0.11,22.13,11.7,0.08
Aluminium,Recycled,Reused,153.76,4.88,12.38,285.78,78.1,7.26,0.72,2.67,9.76,0.08
Lead,Hybrid,Recycled,40.17,6.73,2.17,91.53,89.95,1.28,0.76,1.85,11.13,0.07
Tin,Hybrid,Landfilled,61.96,3.81,5.59,150.79,35.23,2.15,0.11,22.09,10.01,0.05
Copper,Primary,Recycled,142.66,3.71,3.07,186.61,14.72,4.75,0.68,7.45,24.8,0.06
Silver,Primary,Reused,341.51,24.29,111.4,126.53,39.11,3.9,0.35,1139.75,25.9,0.03
Nickel,Recycled,Recycled,149.44,10.76,12.73,401.27,64.7,2.31,0.56,12.29,9.78,0.05
Copper,Recycled,Landfilled,101.59,9.23,11.84,375.02,33.95,3.55,0.52,7.08,14.21,0.05
Cobalt,Primary,Reused,79.75,8.93,3.4,349.54,20.52,3.02,0.52,34.68,8.63,0.08
Copper,Primary,Reused,149.16,4.82,8.02,383.56,40.28,3.07,0.15,7.33,7.17,0.04
Aluminium,Hybrid,Landfilled,56.71,4.22,11.69,220.87,48.96,3.72,0.69,2.36,19.03,0.27
Tin,Recycled,Recycled,50.76,1.21,4.12,266.05,76.17,4.2,0.42,16.29,13.52,0.1
Copper,Hybrid,Landfilled,65.7,8.57,3.17,373.37,79.04,2.72,0.62,7.58,7.75,0.06
Copper,Hybrid,Recycled,48.89,6.05,6.19,356.76,82.66,5.16,0.24,6.27,23.73,0.19
Zinc,Hybrid,Reused,119.69,4.34,11.2,270.15,29.92,4.27,0.49,3.57,13.54,0.15
Lead,Recycled,Landfilled,89.99,4.45,3.02,262.95,83.49,5.62,0.75,1.37,14.04,0.13
Gold,Recycled,Reused,307.04,21.79,227.59,165.63,75.33,1.06,0.29,3849.69,48.39,0.02
Steel,Recycled,Reused,63.91,1.96,3.48,362.43,75.16,5.22,0.22,0.89,14.57,0.03
Tin,Hybrid,Recycled,58.9,2.26,2.22,165.34,40.89,1.95,0.3,20.56,14.06,0.08
Aluminium,Primary,Reused,198.15,5.64,14.88,319.45,66.89,6.18,0.4,2.69,6.86,0.19
Cobalt,Primary,Reused,120.14,6.61,3.35,257.87,28.22,2.11,0.34,23.81,19.55,0.04
Cobalt,Recycled,Recycled,126.99,6.09,7.03,257.59,15.78,3.42,0.3,23.3,9.54,0.12
Aluminium,Primary,Reused,79.17,4.99,5.14,314.18,48.39,7.71,0.25,1.91,19.23,0.17
Cobalt,Primary,Recycled,85.48,10.05,12.94,159.17,13.23,1.71,0.51,38.01,11.83,0.13
Aluminium,Primary,Recycled,58.26,9.49,7.99,322.98,68.79,2.28,0.55,2.19,11.07,0.09
Cobalt,Primary,Reused,82.16,8.8,13.07,321.69,32.72,1.45,0.38,38.47,18.75,0.08
Copper,Primary,Landfilled,42.1,5.02,7.74,218.35,40.65,6.18,0.4,6.55,20.09,0.18
Steel,Hybrid,Reused,34.41,7.81,9.75,297.27,43.98,5.04,0.24,1.13,31.31,0.03
Steel,Hybrid,Landfilled,48.02,1.58,2.13,128.86,83.44,7.11,0.37,1.74,11.07,0.08
Nickel,Recycled,Landfilled,106.5,6.78,15.13,268.29,73.42,2.29,0.32,16.55,10.47,0.13
Silver,Recycled,Reused,159.54,14.81,110.67,118.53,31.49,2.27,0.26,1284.21,8.64,0.02
Silver,Recycled,Landfilled,168.79,18.54,56.53,92.41,24.24,3.34,0.27,927.28,28.17,0.04
Gold,Recycled,Landfilled,457.22,34.65,255.68,96.14,69.11,4.71,0.59,4992.88,12.35,0.03
Tin,Primary,Landfilled,21.36,2.85,2.17,149.88,24.34,4.12,0.26,22.45,5.92,0.05
Copper,Hybrid,Landfilled,58.48,4.02,4.13,177.34,74.21,2.42,0.46,7.99,15.54,0.06
Lead,Hybrid,Landfilled,48.99,5.01,4.6,99.12,54.08,5.73,0.56,2.3,14.38,0.06
Cobalt,Hybrid,Reused,97.77,10.21,4.79,390.94,42.87,4.22,0.36,20.59,5.51,0.09
Silver,Hybrid,Recycled,336.36,15.61,76.15,86.64,65.14,3.27,0.16,1432.57,18.54,0.04
Nickel,Hybrid,Landfilled,86.52,10.4,4.05,219.66,79.01,1.72,0.4,17.27,6.23,0.17
Steel,Recycled,Recycled,47.23,5.98,5.61,357.9,36.66,2.16,0.47,0.89,37.2,0.08
Zinc,Recycled,Landfilled,72.32,6.16,9.41,296.78,40.88,3.04,0.67,3.91,14.74,0.2
Tin,Hybrid,Reused,43.65,4.19,1.79,102.49,11.71,2.42,0.54,19.9,8.7,0.06
Zinc,Hybrid,Recycled,39.46,7.51,8.45,306.75,32.45,1.39,0.27,3.61,6.29,0.06
Silver,Primary,Reused,184.88,13.45,120.85,172.88,41.03,4.95,0.6,1272.67,18.08,0.02
Silver,Hybrid,Landfilled,208.63,13.61,89.65,79.82,61.44,2.3,0.4,855.03,11.66,0.01
Aluminium,Recycled,Recycled,149.69,7.57,7.47,248.22,74.86,7.45,0.58,2.11,16.29,0.21
Aluminium,Primary,Landfilled,144.94,4.48,6.6,407.57,25.89,4.7,0.71,2.32,12.61,0.21
Gold,Hybrid,Recycled,350.34,20.03,244.45,143.76,25.25,2.2,0.31,3723.96,17.91,0.04
Steel,Recycled,Recycled,83.02,5.65,4.65,360.89,49.07,6.48,0.3,0.55,13.56,0.12
Tin,Primary,Landfilled,75.43,3.04,1.74,160.96,38.14,4.68,0.24,24.74,11.99,0.04
Silver,Primary,Recycled,177.5,15.7,54.21,59.67,39.89,4.72,0.57,1499.38,27.0,0.03
Copper,Hybrid,Reused,75.78,8.95,13.92,329.57,46.93,6.15,0.12,7.46,16.38,0.11
Steel,Recycled,Landfilled,48.55,7.78,4.33,175.59,59.71,5.23,0.56,1.07,28.61,0.14
Nickel,Primary,Landfilled,66.72,14.09,17.52,240.45,56.31,5.93,0.55,13.51,16.86,0.14
Steel,Primary,Landfilled,44.11,7.98,9.23,142.45,22.55,4.48,0.28,1.77,14.31,0.12
Copper,Recycled,Recycled,104.88,4.58,11.71,283.2,53.22,3.29,0.14,6.11,15.59,0.18
Gold,Recycled,Recycled,327.1,27.16,195.71,128.66,54.91,1.07,0.23,4657.31,35.09,0.03
Steel,Hybrid,Reused,81.92,4.95,5.65,173.53,57.11,7.92,0.62,1.63,29.38,0.1
Steel,Primary,Reused,27.98,2.46,8.35,320.76,51.7,7.03,0.47,1.98,34.93,0.14
Nickel,Hybrid,Recycled,172.76,7.9,8.87,412.75,29.64,2.93,0.16,17.06,19.87,0.07
Nickel,Recycled,Reused,178.73,5.38,10.78,353.99,54.0,4.03,0.59,15.58,14.11,0.06
Aluminium,Hybrid,Reused,169.35,9.63,5.52,448.96,52.94,3.6,0.62,2.55,5.09,0.16
Tin,Hybrid,Recycled,68.8,3.31,4.84,137.46,33.67,4.03,0.27,15.53,13.05,0.1
Nickel,Primary,Recycled,82.02,11.47,12.5,317.83,31.25,5.97,0.34,13.18,9.4,0.25
Tin,Recycled,Recycled,66.3,1.26,4.36,284.51,60.3,3.98,0.41,15.57,11.87,0.05
Silver,Primary,Recycled,341.88,20.16,133.5,74.48,73.23,4.18,0.41,833.22,25.23,0.01
Zinc,Primary,Reused,36.44,8.33,6.85,190.39,72.66,1.43,0.29,2.07,14.36,0.03
Gold,Primary,Landfilled,483.04,22.26,115.11,144.62,40.7,5.74,0.59,4028.95,28.17,0.02
Cobalt,Recycled,Reused,77.09,8.79,11.87,183.52,36.59,3.06,0.27,35.34,6.68,0.12
Lead,Primary,Landfilled,37.21,6.19,6.06,221.95,21.62,3.53,0.35,1.28,10.36,0.03
Steel,Hybrid,Recycled,81.22,2.16,2.94,145.29,72.27,8.46,0.41,1.55,39.26,0.06
Tin,Recycled,Reused,41.79,5.7,3.95,171.04,72.06,3.32,0.45,15.61,11.37,0.04
Tin,Recycled,Landfilled,78.23,4.41,3.8,117.33,11.6,3.17,0.35,20.98,6.26,0.07
Gold,Primary,Landfilled,310.11,32.28,222.67,75.66,31.71,4.15,0.45,3588.96,41.5,0.02
Nickel,Primary,Reused,170.3,8.32,4.35,248.15,55.22,2.92,0.47,11.36,8.09,0.09
Nickel,Primary,Landfilled,159.91,11.83,15.26,442.88,55.62,5.13,0.31,11.27,9.53,0.14
Steel,Primary,Recycled,89.49,5.95,2.25,180.05,74.76,6.49,0.36,0.99,27.82,0.09
Zinc,Hybrid,Reused,76.25,8.93,11.15,115.24,64.52,1.38,0.25,2.9,11.58,0.17
Cobalt,Recycled,Landfilled,73.55,6.58,4.38,234.32,36.27,4.68,0.51,36.69,7.77,0.18
Tin,Hybrid,Landfilled,44.18,2.93,3.12,175.06,67.39,3.5,0.3,24.62,12.84,0.06
Cobalt,Hybrid,Recycled,152.17,12.0,3.73,381.11,26.58,1.4,0.43,26.49,11.62,0.1
Gold,Hybrid,Recycled,377.03,20.51,271.4,135.91,68.83,2.91,0.24,3344.97,44.13,0.02
Silver,Recycled,Landfilled,287.95,21.68,143.41,154.78,46.73,1.16,0.29,893.82,24.98,0.01
Nickel,Hybrid,Reused,154.84,5.62,13.3,128.16,35.24,5.48,0.29,18.27,9.1,0.17
Silver,Hybrid,Recycled,312.14,20.01,128.9,93.14,55.41,2.65,0.35,1365.25,22.7,0.02
Gold,Recycled,Reused,448.53,24.68,227.88,164.11,32.03,2.52,0.6,4607.28,43.07,0.02
Silver,Recycled,Landfilled,280.29,12.59,77.71,92.16,65.64,4.64,0.56,1137.21,26.04,0.02
Silver,Primary,Recycled,187.35,18.61,129.44,165.76,74.67,3.01,0.13,1265.52,29.74,0.02
Zinc,Recycled,Reused,38.78,6.33,3.29,144.34,58.73,2.87,0.28,2.77,10.46,0.16
Aluminium,Hybrid,Landfilled,124.57,5.12,12.08,396.89,24.05,1.21,0.2,2.31,18.4,0.18
Lead,Primary,Reused,85.78,3.08,5.02,170.64,87.09,6.84,0.45,1.55,8.83,0.11
Cobalt,Recycled,Landfilled,79.77,7.11,10.2,280.62,38.23,4.2,0.58,22.6,12.41,0.12
Lead,Hybrid,Reused,71.99,4.24,2.51,232.19,84.27,2.27,0.26,1.86,9.12,0.15
Aluminium,Primary,Reused,156.31,7.13,12.15,491.92,30.76,1.48,0.34,2.51,14.95,0.08
Tin,Primary,Landfilled,65.18,2.2,1.28,199.53,72.64,2.48,0.19,22.61,8.57,0.05
Steel,Hybrid,Recycled,40.84,3.68,5.9,350.87,34.03,6.83,0.51,0.87,21.48,0.04
Zinc,Primary,Landfilled,80.71,7.99,7.72,242.36,21.82,5.62,0.66,3.32,6.68,0.06
Zinc,Recycled,Recycled,83.6,5.7,9.26,229.27,42.63,5.95,0.52,3.19,6.15,0.11
Nickel,Hybrid,Recycled,101.89,12.31,14.87,361.77,64.49,1.43,0.4,10.91,11.66,0.05
Tin,Hybrid,Reused,62.73,3.64,3.15,192.45,66.03,2.9,0.43,24.26,8.45,0.04
Zinc,Hybrid,Recycled,40.48,2.79,10.62,308.74,45.31,3.43,0.61,2.52,9.62,0.04
Copper,Recycled,Reused,48.41,4.91,5.95,266.01,22.17,3.16,0.18,7.91,15.01,0.08
Aluminium,Hybrid,Reused,58.15,9.17,15.48,315.55,72.52,1.08,0.54,2.61,13.15,0.13
Gold,Primary,Reused,428.75,30.6,176.15,198.41,44.5,5.95,0.12,3636.02,46.94,0.02
Steel,Hybrid,Recycled,24.98,6.76,9.01,135.22,36.17,8.13,0.23,0.81,16.98,0.1
Tin,Hybrid,Landfilled,25.39,4.96,2.15,213.15,33.75,3.72,0.4,17.73,7.2,0.05
Aluminium,Recycled,Landfilled,165.16,4.48,5.83,421.81,34.71,2.74,0.59,2.11,6.96,0.11
Lead,Recycled,Recycled,75.61,4.07,7.14,231.48,30.91,1.35,0.73,2.18,12.82,0.06
Gold,Recycled,Reused,382.0,24.83,233.72,139.62,42.57,3.81,0.33,3404.38,23.83,0.02
Tin,Recycled,Recycled,63.23,1.47,5.92,167.61,60.61,3.05,0.33,17.71,14.29,0.09
Cobalt,Hybrid,Recycled,121.08,8.74,9.02,123.16,22.23,3.34,0.55,33.34,17.07,0.09
Gold,Recycled,Reused,447.1,30.09,281.61,115.19,68.3,2.08,0.56,4436.91,20.59,0.02
